example_id,narrative,expected_label,sif_precursor_type,hazard_energy,human_exposure,barrier_state,reason_code,potential_consequence,reason
EX-001,"Employee was working on a 24-foot extension ladder painting a commercial facility when the ladder feet slipped out on wet concrete. Employee fell approximately 18 feet to the ground, sustaining multiple fractures. No ladder tie-off or personal fall arrest system was in place.","YES","SIF_POTENTIAL_FAILED_BARRIER","Gravitational","DIRECT","ABSENT","GRAVITATIONAL_EXPOSURE","Fall","Significant gravitational energy (elevated ladder fall) combined with direct human exposure and absent critical fall protection barriers. Credible SIF potential regardless of specific medical outcome."
EX-002,"While walking across the paved parking lot to the office trailer, an employee slipped on black ice and fell onto the pavement, resulting in a fractured wrist and hospitalization.","NO","NO_SIF_POTENTIAL","None","DIRECT","NOT_APPLICABLE","LOW_ENERGY_SAME_LEVEL_FALL","Other","Low-energy same-level slip on pavement. Although the actual outcome resulted in a fracture and hospitalization, the physical mechanism lacked catastrophic energy release potential."
EX-003,"An electrician reached into an energized 480V motor control center (MCC) cabinet without performing lockout/tagout (LOTO) or verifying de-energization. An arc flash occurred, causing second-degree burns to the employee's hands and face.","YES","SIF_POTENTIAL_FAILED_BARRIER","Electrical","DIRECT","FAILED","ELECTRICAL_CONTACT","Electrocution","Live industrial electrical potential with unfollowed energy isolation barrier and direct human exposure to arc flash/shock hazard."
EX-004,"During routine maintenance on a pneumatic packaging machine, a technician was clearing a cardboard jam with the main air line still connected. The cylinder actuated, pinching the employee's thumb and causing a laceration. Inspection confirmed the mechanical safety interlock door had been removed two weeks prior.","YES","SIF_POTENTIAL_FAILED_BARRIER","Mechanical","DIRECT","FAILED","MECHANICAL_ENTANGLEMENT","Crushing","Powered machinery nip/pinch mechanism with defeated/bypassed engineering guard and direct exposure to pneumatic actuation energy."
EX-005,"An operator was manually slicing cardboard boxes with a standard utility knife in the warehouse when the blade slipped, resulting in a deep laceration to the left index finger that required sutures.","NO","NO_SIF_POTENTIAL","None","DIRECT","NOT_APPLICABLE","LOW_ENERGY_MANUAL_TOOL","Other","Low-energy manual hand tool event. Lacks catastrophic mechanical, pressure, or kinetic energy required for serious injury or fatality."
EX-006,"A rigging crew was lifting a 4,500 lb steel I-beam with a mobile crane when a synthetic web sling snapped due to sharp-edge abrasion without softening pads. The beam dropped 15 feet onto the deck, landing 4 feet away from a spotter who was standing inside the designated swing radius. No injuries were sustained.","YES","SIF_POTENTIAL_FAILED_BARRIER","Gravitational","POTENTIAL","FAILED","GRAVITATIONAL_EXPOSURE","Crushing","Heavy kinetic/gravitational energy (4,500 lb suspended load drop) with inadequate rigging control and potential human exposure inside the line of fire. Canonical SIF precursor despite zero actual injury."
EX-007,"While operating a sit-down counterbalance forklift in the shipping bay, the driver was backing through a blind aisle intersection at excessive speed without sounding the horn. A pedestrian worker walking across the intersection narrowly stepped back as the counterweight brushed past them, missing impact by inches.","YES","SIF_POTENTIAL_FAILED_BARRIER","Vehicle/Mobile equipment","POTENTIAL","FAILED","VEHICLE_COLLISION_LINE_OF_FIRE","Struck-by","Heavy mobile equipment dynamics with failure to follow traffic control/speed/warning rules and potential direct line-of-fire pedestrian exposure."
EX-008,"A worker entered a 10,000-gallon chemical storage vessel to conduct internal weld inspections without performing atmospheric testing or obtaining a confined space entry permit. The vessel had previously contained nitrogen. The worker lost consciousness within 45 seconds due to oxygen deficiency and was rescued by external standby personnel.","YES","SIF_POTENTIAL_FAILED_BARRIER","Confined-space atmosphere","DIRECT","ABSENT","CONFINED_SPACE","Asphyxiation","Lethal asphyxiation atmosphere with completely missing critical controls (no gas test, no ventilation, no permit) and direct exposure in permit-required confined space."
EX-009,"A delivery driver collapsed in the warehouse breakroom while seated at a table eating lunch. Coworkers initiated CPR, and emergency medical services transported the driver to the hospital where treating physicians diagnosed a massive myocardial infarction.","NO","NO_SIF_POTENTIAL","None","NONE","NOT_APPLICABLE","NATURAL_MEDICAL_EVENT","None","Medical emergency of natural origin (cardiac arrest). Narrative contains zero industrial precursor energy, zero mechanical hazard, and zero work-related barrier failure."
EX-010,"A pipefitter was tightening a flange bolt on an ambient water cooling line when the 12-inch adjustable wrench slipped, causing the worker's hand to strike an adjacent pipe support, resulting in a fractured knuckle.","NO","NO_SIF_POTENTIAL","None","DIRECT","NOT_APPLICABLE","LOW_ENERGY_MANUAL_TOOL","Other","Low-energy manual torque slip. Despite resulting in a fracture, the event lacks hazardous energy vectors capable of causing permanent total disability or fatality."
EX-011,"Workers were connecting high-pressure nitrogen lines during a wellhead testing operation. A 2-inch hammer union rated for 5,000 psi parted at 2,800 psi because an incorrect thread sub was installed. The pressurized hose whipped violently across the deck, striking a structural handrail and tearing it away. Personnel were stationed behind safety blast shields outside the exclusion perimeter.","YES","SIF_POTENTIAL_SUCCESSFUL_BARRIER","Pressure","POTENTIAL","SUCCESSFULLY_INTERVENED","PRESSURE_RELEASE","Explosion","Massive stored pneumatic pressure release with failed primary connection. The blast shield barrier successfully intervened to prevent personnel contact; precursor condition represented life-threatening energy."
EX-012,"A utility worker was digging a 7-foot deep trench in Type C sandy soil to repair a water main. No trench box, shoring, or sloping was provided. The south sidewall collapsed suddenly, burying the worker up to the chest in heavy soil before coworkers dug the employee out.","YES","SIF_POTENTIAL_FAILED_BARRIER","Gravitational","DIRECT","ABSENT","GRAVITATIONAL_EXPOSURE","Crushing","Deep excavation engulfment/soil collapse hazard with completely absent shoring/shielding barrier and direct physical burial exposure."
EX-013,"An employee was operating a metal stamping press equipped with dual hand anti-tie-down control buttons. The operator used the machine in accordance with standard operating procedures to stamp 200 brackets without incident.","NO","NO_SIF_POTENTIAL","None","NONE","PRESENT_NOT_ACTIVATED","ROUTINE_NON_HAZARDOUS","None","Benign operational description. Presence of machine keywords ('stamping press') without energy release, barrier breakdown, or hazardous exposure does not indicate SIF potential."
EX-014,"A welder was performing hot work in a fabrication yard with a functional fire watch stationed and a dry chemical fire extinguisher immediately adjacent. A small spark ignited a stray piece of cardboard on the concrete floor; the fire watch immediately extinguished the cardboard within 5 seconds. No property damage or injury occurred.","NO","NO_SIF_POTENTIAL","Thermal","POTENTIAL","PRESENT_NOT_ACTIVATED","LOW_ENERGY_INCIDENTAL_IGNITION","Fire","Minor incidental spark where controls (dedicated fire watch, immediate suppression) were present and ready, preventing fire escalation in a low-hazard setting."
EX-015,"An employee was adjusting an in-running rubber roller on an active conveyor while wearing loose work gloves. The glove was caught in the nip point, pulling the worker's fingers into the roller and causing partial amputation of the index and middle fingertips before the emergency pull-cord was tripped. The interlocked nip-point guard had been removed for maintenance and was not reinstalled.","YES","SIF_POTENTIAL_FAILED_BARRIER","Mechanical","DIRECT","ABSENT","MECHANICAL_ENTANGLEMENT","Caught-in","In-running mechanical nip point on heavy equipment with absent interlocked barrier and direct hand exposure, representing severe crushing/entanglement precursor potential."
EX-016,"An employee was cutting thermal pipe insulation with utility shears while seated on a 2-foot wooden step stool. The employee lost balance and stepped down abruptly, twisting an ankle and sustaining a sprain.","NO","NO_SIF_POTENTIAL","None","DIRECT","NOT_APPLICABLE","LOW_ENERGY_STEP_DOWN","Other","Low-elevation step down off a 2-foot stool onto flat ground. Lacks high-energy gravitational kinetic potential or compounding hazards."
EX-017,"Employee was found unconscious in the facility pump room next to an open electrical junction box with 480V terminals exposed. Tool marks were visible on the terminal screws. Paramedics transported the employee to the hospital where ventricular fibrillation was recorded.","YES","SIF_POTENTIAL_FAILED_BARRIER","Electrical","DIRECT","ABSENT","ELECTRICAL_CONTACT","Electrocution","Direct contact with live industrial electrical conductors with absent enclosure barrier leading to cardiac arrhythmia. Traumatic electrical shock distinguished from natural cardiac episode."
EX-018,"A maintenance technician was standing on a catwalk elevated high above the plant floor. The worker was wearing a full-body harness properly connected to an engineered overhead horizontal lifeline. The worker slipped on an oil spot and fell off the edge. The personal fall arrest system deployed as engineered, arresting the fall after 4 feet of descent. The worker hung suspended until the standby rescue team retrieved them 8 minutes later without physical injury.","YES","SIF_POTENTIAL_SUCCESSFUL_BARRIER","Gravitational","DIRECT","SUCCESSFULLY_INTERVENED","GRAVITATIONAL_EXPOSURE","Fall","High-consequence gravitational fall initiated from elevation. The engineered personal fall arrest system deployed and successfully intervened to prevent fatal impact. Classified as SIF Potential with Successful Barrier (YES for primary SIF detection)."
EX-019,"Employee was injured while assisting with equipment maintenance in the mechanical room. Narrative states employee felt severe pain in shoulder.","UNCERTAIN","UNCERTAIN","Unknown","UNKNOWN","UNKNOWN","INSUFFICIENT_INFORMATION","Unknown","Insufficient narrative context. Energy vector, task mechanism, equipment involved, and control status are completely absent. Ambiguous text must not be forced into YES/NO."
EX-020,"Worker was on a 10-foot stepladder when it tipped over onto a concrete slab. The worker fell approximately 8 feet, striking their head against a steel column and sustaining a traumatic brain injury. The ladder was placed on uneven gravel contrary to manufacturer warnings.","YES","SIF_POTENTIAL_FAILED_BARRIER","Gravitational","DIRECT","FAILED","GRAVITATIONAL_EXPOSURE","Fall","Gravitational fall from an elevated ladder onto a hard surface with improper placement barrier failure and direct traumatic head impact."
EX-021,"Contractor was replacing fluorescent light bulbs while standing on a 3-foot aluminum step stool in the breakroom. The worker fell onto the linoleum floor, bruising their hip.","NO","NO_SIF_POTENTIAL","None","DIRECT","NOT_APPLICABLE","LOW_ENERGY_STEP_DOWN","Other","Low-elevation fall onto a level linoleum floor without secondary impalement or compounding hazards. Supporting height evidence indicates low gravitational potential."
EX-022,"Two workers were transferring liquid chlorine from a delivery tanker to a storage tank. The transfer hose burst due to chemical degradation and lack of scheduled hydrostatic inspection. A dense yellow-green gas cloud enveloped the immediate area. Both workers were wearing full-face supplied-air respirators and evacuated upwind within 10 seconds; no toxic exposure symptoms were reported.","YES","SIF_POTENTIAL_SUCCESSFUL_BARRIER","Chemical","POTENTIAL","SUCCESSFULLY_INTERVENED","CHEMICAL_TOXIC_RELEASE","Toxic Exposure","Severe hazardous chemical release (toxic chlorine vapor) with primary containment failure. Supplied-air respiratory PPE successfully intervened to prevent casualty; catastrophic precursor condition existed."
EX-023,"Safety supervisor conducted a toolbox talk discussing an OSHA fatality case study from 2012 where a contract employee died from an excavator trench collapse in Texas. Crew members signed the attendance sheet.","NO","NO_SIF_POTENTIAL","None","NONE","NOT_APPLICABLE","HISTORICAL_TRAINING_REVIEW","None","Informational / historical training narrative. Explicit mention of 'fatality' and 'died' refers to educational review material, not a live workplace precursor event."
EX-024,"Worker entered an unventilated pump vault without testing the atmosphere. Multi-gas detector on standby showed 12.8% oxygen. Worker felt dizzy, exited immediately, and collapsed outside the hatch.","YES","SIF_POTENTIAL_FAILED_BARRIER","Confined-space atmosphere","DIRECT","ABSENT","CONFINED_SPACE","Asphyxiation","Immediately dangerous to life or health (IDLH) oxygen-deficient atmosphere entered without atmospheric verification, causing acute physiological impairment."
